time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.HDOP,.UTM_easting,.UTM_northing,.UTC,.Zone,.Letter
2023/03/24/13:38:41.203998,198,1679679521,202939033,GPS1_FRAME,42.33963166666667,-71.09060666666667,16.8,1.2,327781.03944794484,4689602.939956701,173841.0,19,T
2023/03/24/13:38:42.203573,199,1679679522,202799558,GPS1_FRAME,42.339666666666666,-71.09062666666667,16.4,1.2,327779.4873848652,4689606.866951177,173842.0,19,T
2023/03/24/13:38:43.204619,200,1679679523,203969001,GPS1_FRAME,42.339705,-71.09064666666667,16.1,1.2,327777.94442434347,4689611.164087512,173843.0,19,T
2023/03/24/13:38:44.203561,201,1679679524,202868700,GPS1_FRAME,42.33974833333333,-71.090665,15.8,1.2,327776.5524183882,4689616.013060573,173844.0,19,T
2023/03/24/13:38:45.203372,202,1679679525,202678680,GPS1_FRAME,42.33979333333333,-71.09068,15.6,1.2,327775.439567507,4689621.040352946,173845.0,19,T
2023/03/24/13:38:46.202464,203,1679679526,201828956,GPS1_FRAME,42.339841666666665,-71.09069833333334,15.5,1.2,327774.0612171332,4689626.44453886,173846.0,19,T
2023/03/24/13:38:47.202477,204,1679679527,201745033,GPS1_FRAME,42.339895,-71.09072333333333,15.8,1.2,327772.14731663506,4689632.417441137,173847.0,19,T
2023/03/24/13:38:48.197424,205,1679679528,197017431,GPS1_FRAME,42.339956666666666,-71.09075333333334,15.8,1.5,327769.8442700058,4689639.325825736,173848.0,19,T
2023/03/24/13:38:49.196461,206,1679679529,195703983,GPS1_FRAME,42.340023333333335,-71.09078833333334,15.5,1.8,327767.142978173,4689646.799551667,173849.0,19,T
2023/03/24/13:38:50.194627,207,1679679530,194030523,GPS1_FRAME,42.34009666666667,-71.090825,15.8,1.8,327764.3225951074,4689655.016937949,173850.0,19,T
2023/03/24/13:38:51.199025,208,1679679531,198097705,GPS1_FRAME,42.34017166666667,-71.090865,15.9,1.8,327761.2321693571,4689663.426148771,173851.0,19,T
2023/03/24/13:38:52.216306,209,1679679532,215496778,GPS1_FRAME,42.340248333333335,-71.090905,15.9,1.3,327758.1463026842,4689672.020432017,173852.0,19,T
2023/03/24/13:38:53.199932,210,1679679533,199137687,GPS1_FRAME,42.34032166666667,-71.09094333333333,16.0,1.3,327755.1886423447,4689680.2411991535,173853.0,19,T
2023/03/24/13:38:54.218168,211,1679679534,214372634,GPS1_FRAME,42.34039166666667,-71.09098,16.5,1.3,327752.35918731824,4689688.088449976,173854.0,19,T
2023/03/24/13:38:55.215893,212,1679679535,215140342,GPS1_FRAME,42.34045666666667,-71.09101166666666,16.8,1.3,327749.927985023,4689695.370360683,173855.0,19,T
2023/03/24/13:38:56.217161,213,1679679536,216512918,GPS1_FRAME,42.340511666666664,-71.09103833333333,16.9,1.3,327747.88137973874,4689701.531718541,173856.0,19,T
2023/03/24/13:38:57.216465,214,1679679537,215620517,GPS1_FRAME,42.340559999999996,-71.09106166666666,16.9,1.3,327746.0911723012,4689706.946041137,173857.0,19,T
2023/03/24/13:38:58.203891,215,1679679538,203064918,GPS1_FRAME,42.340605,-71.091085,16.6,1.3,327744.29186519474,4689711.990222812,173858.0,19,T
